VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;310.4125615950127;28.0;0.0;11.086162914107595;94.85897483688862;0.8837066930591349;0.061618909402672305;0.009639092554428975;0.15555751745757346;30.751264567745846;0.0;1791.5502962562591
vehicle1;303.90402963973753;23.0;0.0;13.213218679988588;56.74386223122286;0.008148656468961166;0.0016445978461658269;0.005208746686643072;0.3312858588473642;18.23539132844956;0.0;1492.7526568192363
vehicle2;314.632320439567;30.0;0.0;10.487744014652234;96.59703229605968;0.038321046750821146;0.010220867030279385;0.007795389518539125;0.19934837842644423;31.043949274694764;0.0;1902.8759392845932
vehicle3;300.8543350713304;39.0;13.0;7.714213719777703;88.80344855196944;0.6669181285293043;0.004452971041302376;0.00809581078281951;0.030744541952362384;28.78867146653213;0.0;1675.4059024637213
vehicle4;310.51382775350237;33.0;3.0;9.409509931924314;85.9286607734783;0.27417364456404103;0.0026692048032004763;0.0076209881589601155;0.02513037929104336;27.85640841063761;0.0;1902.336475663912
vehicle5;314.71594055076594;27.0;0.0;11.656145946324663;76.61319633506095;0.9632395454208007;0.021543080310911695;0.011038937552371562;0.04915243769699741;24.83899500931618;0.0;1728.9322841587875
vehicle6;306.01443373865175;30.0;0.0;10.200481124621724;62.71015215909148;0.2578845786454611;0.001729972610596654;0.0070874932400432225;0.021529514323828623;20.329887679817606;0.0;1877.1916824245307
vehicle7;299.03231341619113;28.0;0.0;10.679725479149683;78.38602555655022;0.018671242483994224;0.007250913394627584;0.020446914591846364;0.4229052291184202;25.19124138247421;0.0;1774.9224602650656
vehicle8;307.2666239662883;25.0;0.0;12.290664958651533;80.54570446382637;0.030557443402061502;0.008307715920426591;0.006948840685321376;0.1771000445368245;25.885413794189176;0.0;1616.792598792642
vehicle9;301.62526259030005;47.0;17.0;6.417558778517022;77.97898719106892;0.8408072373965187;0.004767719637240954;0.006274042524274746;0.010765431988622653;25.242626866780075;0.0;1849.6415528316913
vehicle10;310.06871839760356;34.0;1.0;9.11966818816481;89.5255360866461;0.28082274412116187;0.002659510716666061;0.006416013845685112;0.026660195293517115;29.02194289790853;0.0;2024.5859148509487
vehicle11;296.8455186317953;25.0;0.0;11.873820745271813;66.20637334071056;0.6599410142717973;0.00679346618448726;0.008516674697126709;0.015718392146258774;21.462590669284417;0.0;1602.5126114085385
vehicle12;310.5610653755929;30.0;3.0;10.352035512519763;88.75263136943084;0.7146001582434576;0.057861279988122134;0.009507970213270404;0.14733346556430751;28.773705585220082;0.0;1896.3164474738583
vehicle13;293.9756005816588;24.0;0.0;12.248983357569116;66.4322811503373;0.19890603280070468;0.024368261869991775;0.009449952988307397;0.034286914236842395;21.379079791195537;0.0;1559.5400604784047
vehicle14;312.473748694063;24.0;0.0;13.01973952891929;49.113184224929434;0.008066329612330067;0.001953184661913673;0.006580484631045824;0.2932744754482001;15.782646407814317;0.0;1547.8579765847614
vehicle15;294.9483675175227;25.0;0.0;11.797934700700907;67.12593617171862;0.01826093973582761;0.007200145022502606;0.02004757979059742;0.3565932475697617;21.57262222478036;0.0;1598.939133426729
