VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;1272.7071225511336;130.0;29.0;9.790054788854874;299.82911611009325;2.8377012372707706;0.19684295231843052;0.03455408026428937;0.5048061470108386;97.1997148130386;0.0;6465.159705986707
vehicle1;1273.5016783998783;92.0;0.0;13.842409547824763;210.95852919390495;0.03292942044557531;0.007739779466240416;0.026518284215665523;1.2620488863599701;67.79261867537974;0.0;5963.183878676952
vehicle2;1256.5446264588;114.0;18.0;11.022321284726315;259.37629293471014;0.11839481082460591;0.028475441150897476;0.028324424714568832;0.5919633064942331;83.35482646853893;0.0;7187.047378151452
vehicle3;1264.249110360914;107.0;10.0;11.815412246363683;241.18589340259211;1.7378680908624597;0.011656470263746268;0.027196662530754225;0.08598945650034505;78.1890886219612;0.0;6158.576421640526
vehicle4;1249.2674962870847;93.0;0.0;13.432983831043922;202.07152826602137;0.652699988924776;0.006782194701519184;0.02823102100975864;0.05587799865155722;65.51025152851443;0.0;6016.299897247875
vehicle5;1270.7973281945706;90.0;0.0;14.119970313273006;218.78903851081958;2.8489597177164794;0.06335214396443935;0.0400388953201814;0.16947863137586092;70.93605539958035;0.0;5857.954730079354
vehicle6;1271.3072622355392;133.0;12.0;9.558701219816085;249.5195693850328;0.91218332624173;0.00613625116207229;0.027780626161794747;0.08853143311700118;80.8915887529076;0.0;8224.786842995642
vehicle7;1263.7857332306971;91.0;0.0;13.88775531022744;286.54475509965255;0.06380215642929654;0.026651873690420373;0.08180827731352869;1.64339693256466;92.08927652624284;0.0;5935.182235251987
vehicle8;1265.113725877268;100.0;2.0;12.65113725877268;237.64316341048678;0.10050705680799255;0.025378099970059183;0.027722751096918793;0.5330323717062537;76.37084345398742;0.0;6306.357166957447
vehicle9;1256.3164299572932;118.0;25.0;10.646749406417738;193.18982911358108;2.144837845624949;0.012479523181249275;0.024910915715122883;0.028722726396116366;62.536278582801984;0.0;6030.60928283895
vehicle10;1264.8678206576549;132.0;25.0;9.582331974679203;251.38608350273174;0.8984618713687839;0.00838607658353398;0.023579913553689595;0.07096181274298015;81.49356769786216;0.0;6784.690531200133
vehicle11;1253.0572087382184;95.0;0.0;13.19007588145493;205.19192006005343;1.863751418888217;0.02063725248373297;0.03156549820098762;0.05401509621900043;66.52009219477797;0.0;6116.577480429963
vehicle12;1268.1554717145395;105.0;15.0;12.07767115918609;248.20231987099305;1.833655786447364;0.16467339940614217;0.03408226636981302;0.43862135724553103;80.47214359896984;0.0;6697.889264903252
vehicle13;1255.9727745780772;148.0;54.0;8.486302530932955;263.1171861187619;0.5998553754305638;0.09633735022705672;0.03527972475336349;0.09094172106750442;84.6831313508506;0.0;9110.79281053726
vehicle14;1273.809545970475;107.0;3.0;11.904762111873598;242.0947073104178;0.042489558651853325;0.00941093347949108;0.027153445332823923;1.4014678402113738;77.7987199979483;0.0;6802.488648972265
vehicle15;1259.2101841091842;96.0;0.0;13.116772751137335;224.09123584547828;0.060084466515731;0.024601825607142334;0.07126937846611758;1.2317144922865455;72.01795759091793;0.0;6181.090525944507
vehicle16;1270.677070095061;105.0;0.0;12.101686381857725;253.08750439944598;0.09955443843688516;0.026423669703818237;0.023637980865390887;0.5481807095301253;81.3356152334111;0.0;6690.579503658141
vehicle17;1269.4275324010182;86.0;0.0;14.760785260476956;233.6036829086805;3.265745309864911;0.018663461689562694;0.024857125901604295;0.027509008050603086;75.7399814653789;0.0;5666.7199424058235
vehicle18;1255.586244984399;117.0;0.0;10.731506367388025;310.8801954201779;0.05314768194299689;0.010079323486433067;0.025739504120736847;1.6934779051355775;99.90544355228776;0.0;7362.040748081525
vehicle19;1257.5323707600087;134.0;33.0;9.38456993104484;327.7609106820665;0.09431671149521274;0.037835891743668276;0.09431290447989521;1.8679561596361358;105.33304817308394;0.0;8324.672169997086
vehicle20;1268.5788852743515;135.0;17.0;9.396880631661864;270.40807447225035;1.2748159712311633;0.00851497434254841;0.0249330129578819;0.09508604022509622;87.66298509782575;0.0;8356.38057185529
vehicle21;1271.0613642875628;111.0;20.0;11.451003281869935;353.32579346939144;2.9979334231255304;0.019895164152612138;0.027950981425122423;0.13036280660293295;114.54306092768276;0.0;7109.008761373432
vehicle22;1262.1819404823411;135.0;45.0;9.349495855424749;262.24014432430107;1.8632559299075442;0.011080093783021574;0.03075372091728989;0.04346252045010686;85.02645029588459;0.0;8373.08507200551
vehicle23;1253.0435483453202;112.0;0.0;11.187888824511788;268.9872296902783;0.10544139990028654;0.028121312152473755;0.022368989866449286;0.590441115949236;86.4458866161964;0.0;6962.839141052394
vehicle24;1267.0721239169793;122.0;19.0;10.385837081286716;244.40855175656654;0.04858844852374926;0.011821550290235301;0.0710238100344276;0.8779281300401416;78.55038757867842;0.0;6578.90096563174
vehicle25;1262.5926595316823;155.0;50.0;8.145759093752789;243.46759579451577;2.6634865733476407;0.015115060138032642;0.022990598330470475;0.030073862055913562;78.93815860344465;0.0;6620.978266054575
vehicle26;1275.2768624905807;129.0;39.0;9.885867151089773;266.01133424249065;0.046447545392921875;0.011708638649872328;0.07555080714726949;1.0647040501611915;85.49298820944391;0.0;5780.705549245328
vehicle27;1252.0932736527147;92.0;0.0;13.609709496225161;215.58031722090945;0.5129208292012576;0.06028849821225145;0.030807262764252708;0.28632301218450923;69.37390075133573;0.0;5972.880226666889
vehicle28;1268.7255545817484;83.0;0.0;15.285850055201788;222.60498091416173;1.8636934254086874;0.012511078449853542;0.02793977810053253;0.08179451662407064;72.16552112787932;0.0;5482.439503010963
vehicle29;1249.877748962102;127.0;37.0;9.841557078441749;265.05729427280426;1.3712147456501997;0.009264534116946166;0.028634998288511824;0.09854225245048073;85.92884710338161;0.0;7917.447492786545
vehicle30;1247.72734640815;110.0;26.0;11.342975876437727;271.8621675221235;0.12044726807144726;0.029420908346859235;0.02751257625606538;0.6724686631462687;87.36782286543259;0.0;6975.342272164219
vehicle31;1261.071946828695;134.0;37.0;9.410984677826082;300.1036063508802;0.137959932559462;0.03282529441627467;0.026290590953029644;0.6989312722085024;96.44387673751163;0.0;8319.469034477665
vehicle32;1268.3787100871782;85.0;0.0;14.922102471613861;199.3842072789749;0.03782766227312304;0.010784147670129142;0.06917106515580092;0.8099424405274498;64.08381993075437;0.0;5566.049588680711
vehicle33;1255.7582886995765;109.0;0.0;11.520718244950244;232.1395617780572;1.5021886812198966;0.14964420294213068;0.03004077457577207;0.3932017510222706;75.26036111698689;0.0;6891.614801037903
vehicle34;1261.5955538851858;126.0;32.0;10.012663126072903;318.80605076062295;0.11353868268539845;0.032459977784615304;0.024897508453285564;0.7496354276286571;102.45774605114653;0.0;6066.847060690079
