VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;1260.5119578028498;136.0;31.0;9.26847027796213;315.3027100028981;2.787129954533619;0.2061583554469238;0.03645917224321692;0.5280017445608005;102.21705632231834;0.0;6632.066923657266
vehicle1;1262.9353672701354;92.0;0.0;13.727558339892777;211.121238772395;0.03214830418293738;0.007183862022314303;0.023904688916927045;1.2500448274273812;67.84550939833301;0.0;5959.125246408057
vehicle2;1267.9946811231507;90.0;0.0;14.08882979025723;228.32841706476816;0.09337893114835527;0.024194033385158815;0.027560692069659155;0.5291117719655022;73.37762432365352;0.0;5861.451575285152
vehicle3;1264.4115396481004;98.0;10.0;12.902158567837759;226.33402606790784;1.6618336945478271;0.011240182380719981;0.03083539538486799;0.08202297200863974;73.3745757020563;0.0;5751.024337323397
vehicle4;1270.138735477423;92.0;0.0;13.805855820406773;180.53872401787567;0.5907886421496239;0.006191791537732459;0.02696238786215993;0.04944311086028535;58.52992692361491;0.0;5959.8390752085525
vehicle5;1269.1172985096246;122.0;19.0;10.402600807455938;266.746513318588;3.332320514143733;0.07377679621233657;0.04333378614900824;0.19375333019550184;86.48387179867818;0.0;6496.788485636357
vehicle6;1268.2620417060148;156.0;37.0;8.129884882730863;272.6662612792739;0.7708084710220413;0.005215073500497426;0.028168994934337523;0.09868258247551484;88.39579622048515;0.0;9505.278293128038
vehicle7;1255.9910100608151;118.0;18.0;10.643991610684875;308.5220655889553;0.07365436268224625;0.029356760132551497;0.08506231669219082;1.7150696896534612;99.15164463246508;0.0;6383.209718135625
vehicle8;1261.4070825458796;143.0;46.0;8.821028549271885;248.64850034802558;0.10112437665941112;0.026389361625643325;0.026659693013298305;0.5489945500606438;79.90845480204058;0.0;6209.314050312502
vehicle9;1254.849958296209;122.0;24.0;10.285655395870565;205.45564790738186;2.1905279865448866;0.012743134506294844;0.026236210071479887;0.03083432423609711;66.50655388363845;0.0;6253.019289994332
vehicle10;1263.239950479998;102.0;0.0;12.384705396862726;226.0698791761886;0.7930744820647442;0.00765245136022237;0.024364212979606403;0.06245263143755888;73.28776818047577;0.0;6535.622085570224
vehicle11;1258.5322371999077;143.0;43.0;8.80092473566369;211.41359758335588;2.005266551116611;0.02140630131911016;0.02947815606889894;0.052826380922189435;68.53635160011817;0.0;6343.707887865561
vehicle12;1266.6179609280277;113.0;17.0;11.209008503787857;272.22401679126733;2.0141073338253954;0.18112491760044783;0.03551282969940573;0.47486764395091186;88.2599117840289;0.0;7145.820547883009
vehicle13;1252.6711829609578;112.0;13.0;11.18456413357998;217.07482938069208;0.5957508395347129;0.08104880542537356;0.035236706289354616;0.08783043955707255;69.8623631859041;0.0;7091.092952337716
vehicle14;1266.7916607155666;128.0;28.0;9.896809849340364;264.83837178321875;0.050219634759477084;0.012378230868983525;0.030215044858831728;1.6319997393494694;85.10638542518944;0.0;7972.600797769436
vehicle15;1252.2617979103939;109.0;5.0;11.488640347801779;239.06325773956306;0.0725481236048399;0.028884887558825192;0.07678622544971594;1.299019352238563;76.82898715156209;0.0;6894.792865902537
vehicle16;1256.1682966035733;109.0;0.0;11.524479785353883;254.72916883134332;0.10310667156593721;0.026865559394423172;0.024442657915136824;0.5404423241899757;81.86288353219794;0.0;6896.046150959463
vehicle17;1249.938386213374;128.0;39.0;9.765143642291985;252.4296362027559;3.5910859558141572;0.020420689759435305;0.024060164226272614;0.02912288493738912;81.84343553986258;0.0;5777.150925941642
vehicle18;1261.5697216357273;152.0;39.0;8.299800800235047;350.73129181159516;0.06447980019201306;0.013194309753322891;0.024136878579375663;2.031317817876406;112.71199766272768;0.0;9332.860545846326
vehicle19;1266.0745472965007;105.0;12.0;12.057852831395245;285.71312996863287;0.07299191041590267;0.029717122712776857;0.08328335639916402;1.6233243860650621;91.82147426246023;0.0;6709.488885513345
vehicle20;1262.8027463231786;108.0;0.0;11.692618021510912;220.05864334191958;1.2640007039537124;0.008441260106928864;0.024043416565487936;0.07731226255942827;71.34023410152442;0.0;6845.19300936102
vehicle21;1263.6738525184637;135.0;42.0;9.360547055692324;378.3839113567264;2.8527858298614195;0.018940807561125313;0.02782813634051541;0.1405813599073422;122.66688253453549;0.0;8438.574125133153
vehicle22;1256.3740168847658;135.0;46.0;9.306474199146413;265.14382381755223;2.183122781077674;0.01273562376045692;0.026974756917189528;0.04199028728470078;85.9672638310026;0.0;8372.602957894223
vehicle23;1255.6021125867824;109.0;6.0;11.519285436575984;280.6439684588979;0.10454340375411084;0.028918801262746263;0.022662411403403804;0.6243229168039979;90.19261587505869;0.0;6587.43831437109
vehicle24;1256.5706744199874;119.0;18.0;10.559417432100735;263.653864304035;0.052327171515812156;0.012831044443149866;0.07731641114456687;0.9504931481367197;84.73584953549587;0.0;6470.560640044002
vehicle25;1253.1316473850416;100.0;0.0;12.531316473850415;242.0452408202799;2.7725234367934735;0.01574704225715278;0.024012514697610475;0.029905758972343724;78.47704873776004;0.0;6430.3888077335305
vehicle26;1259.8809256256452;109.0;16.0;11.55854060207014;290.6654080627283;0.04966057874781044;0.01237459976723204;0.07905476706751419;1.154276976697188;93.41555272376289;0.0;5990.472776915736
vehicle27;1257.1088944466424;132.0;35.0;9.523552230656382;280.2444986786467;0.5407459691363672;0.07365827314640212;0.030460135618688072;0.3045558517294597;90.18361405420241;0.0;8217.00987336756
vehicle28;1267.8129348876307;82.0;0.0;15.46113335228818;216.38540659764547;1.8051083624612454;0.012135749082167472;0.02852075395809934;0.08000806140520846;70.14930698129928;0.0;5424.450379662116
vehicle29;1275.4380065363587;129.0;39.0;9.887116329739214;269.43889286814453;1.3942297398167227;0.009423576448836827;0.029402053122399806;0.1002703213447643;87.34934594381953;0.0;8044.724952694194
vehicle30;1254.5830600674958;138.0;51.0;9.091181594692;295.3671932428296;0.14499476742330974;0.0330478910790404;0.02882006607661614;0.7215675395666202;94.92050323734607;0.0;8537.599761916706
vehicle31;1262.965514752599;88.0;0.0;14.35188084946135;208.56015360489874;0.0866784467099876;0.02220156949205486;0.02663788700369804;0.4939951249266385;67.02442467116877;0.0;5735.358428334358
vehicle32;1261.3658796073587;89.0;0.0;14.17265033266695;226.5030862718578;0.04162447145236793;0.01092816448231757;0.0697275964196434;0.8886503360048666;72.79717241786949;0.0;5792.015404989969
vehicle33;1265.0711282144323;104.0;0.0;12.16414546360031;230.40626114368678;1.5682760894065013;0.14908486860768425;0.03166877243825146;0.39788856833408165;74.69866338653635;0.0;6624.434266243193
vehicle34;1268.1675557363526;88.0;0.0;14.410994951549462;279.65459180441206;0.09910392151455487;0.028301189240456364;0.02367223538666459;0.6647699262948948;89.8748797678182;0.0;5776.883020954731
vehicle35;1249.9129421817265;123.0;26.0;10.161893838875825;296.4616402996158;1.92049773752718;0.012807654179731447;0.02645682767856114;0.1081401006687628;96.10907908980799;0.0;7711.3104383178415
vehicle36;1259.2451594779218;119.0;38.0;10.581892096453124;264.57753406185583;2.83727542111359;0.17921892873976514;0.03828971150996207;0.47605387479719985;85.77793040392254;0.0;5379.934398769261
vehicle37;1262.6753229065052;128.0;24.0;9.864650960207072;298.4432323085527;0.05320834105604137;0.011806970432601368;0.027376707280399013;1.8077240328803483;95.90758824058767;0.0;7988.425385595196
vehicle38;1261.73916097562;99.0;0.0;12.744840009854748;221.57861269863656;1.674509505226683;0.1443693895783496;0.031022075163368145;0.3870134056394897;71.83628604740878;0.0;6345.193829606824
vehicle39;1270.569375340491;106.0;0.0;11.986503540948029;244.33827834396556;0.041562459886120395;0.00884959430981609;0.02609357327878613;1.3800404023985695;78.52004622058158;0.0;6740.336514339196
