VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;764.0642001637418;65.0;0.0;11.75483384867295;181.06065222751488;1.9022857737345702;0.010811845404409432;0.01695232649183911;0.02235172940503719;58.70441123672182;0.0;4166.781452596137
vehicle1;607.9310651167023;46.0;1.0;13.21589271992831;169.31531639180432;0.3924138523294439;0.04589037653627424;0.015792165157739554;0.310573905726423;54.49056823071826;0.0;3028.542097216709
vehicle2;758.8963243067582;110.0;45.0;6.899057493697802;222.0167290639771;0.05788026187650512;0.022559320851222506;0.062031790382893026;1.186903009850349;71.35049090695216;0.0;4175.5104598107255
vehicle3;735.450476683152;72.0;0.0;10.214589953932666;290.34643222111265;0.11775427275421424;0.022706422024844377;0.10623690492210713;1.070810303357441;93.31094714078982;0.0;4560.073242948062
vehicle4;920.9870957210921;123.0;31.0;7.487699965212132;260.3747165617304;1.6542892269790317;0.010945403170621735;0.01811488410906303;0.08600660534415351;84.40938464608055;0.0;5742.864809737555
vehicle5;1521.7940800684173;129.0;0.0;11.7968533338637;379.8099428855286;2.9906462317526104;0.244995274473283;0.045156162950151985;0.638457659992269;123.13535038406188;0.0;8243.608658403822
vehicle6;1378.8278007136996;116.0;0.0;11.88644655787672;339.4306815782364;2.4241999666737657;0.016100310963826442;0.029903339561702835;0.11827520683052496;110.03850056081201;0.0;7440.566443771406
vehicle7;1057.6202629265977;91.0;0.0;11.622200691501073;288.42314107020667;3.7799185229975425;0.08251886083887892;0.040757628994864736;0.1820118103812709;93.51022266350628;0.0;5830.856115087928
vehicle8;1221.991802923662;97.0;0.0;12.597853638388267;237.78823420727483;2.9086063120769654;0.027641242405058247;0.02753098931089838;0.05401162265169626;77.08324776605569;0.0;6222.937075746754
vehicle9;756.9552015583863;76.0;5.0;9.959936862610347;243.04689287976458;1.9442924288630252;0.15415227708452806;0.024249793502702933;0.39217466847073457;78.79368884310323;0.0;4468.63900265733
