VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;760.3457762002579;63.0;0.0;12.068980574607268;172.6181052503958;1.8330221858889122;0.010442523835970512;0.017118912560797672;0.02166896517362059;55.967190181407574;0.0;4047.73991188089
vehicle1;602.1677369628641;73.0;23.0;8.24887310908033;232.0895110212861;0.465994266592957;0.06055743168617921;0.018489992813862512;0.3498511312014528;74.69206605645174;0.0;4547.099278512505
vehicle2;762.8796069574367;111.0;33.0;6.8727892518688;253.19832597481965;0.07373023883340298;0.02676610907109917;0.0670811654437657;1.3058951507706131;81.37093767435206;0.0;4732.309729499277
vehicle3;726.4329261356877;107.0;29.0;6.7890927676232495;301.1505628850531;0.13072714491162937;0.025020068694003868;0.11248201706020373;1.1139631392305085;96.78278588323636;0.0;4738.5992557434665
vehicle4;923.8023062389973;133.0;30.0;6.9458820017969725;306.75817465879044;1.878062218262617;0.012414647761898615;0.019347885852405343;0.0999324636193994;99.4460241351128;0.0;6326.509012568833
vehicle5;1521.4467584137542;220.0;79.0;6.9156670836988825;441.5031263142735;3.146290302491432;0.2842899199114708;0.048612839228192414;0.7220170707237737;143.1363854236162;0.0;8909.60957359895
vehicle6;1384.6131712556405;229.0;81.0;6.046345726007163;451.54193925394327;2.921146208781487;0.019332003793996657;0.029699302674109446;0.1486804701976162;146.38252770387695;0.0;8994.759824074792
vehicle7;1068.9877320888286;139.0;43.0;7.690559223660637;291.2551734257087;3.3591367456853645;0.08011669179700447;0.04070081510639353;0.18684396948362766;94.42860074315281;0.0;6049.03531565254
vehicle8;1220.034839229067;112.0;15.0;10.893168207402384;255.971285930771;3.0336285774380523;0.029220990101044092;0.030811919409846372;0.05892665032105802;82.97811256314696;0.0;6236.942313821679
vehicle9;748.9904787731045;143.0;67.0;5.237695655755976;224.96525597578264;1.6841826405009843;0.14303630425486935;0.022150070792207092;0.3577965814634282;72.93211808693837;0.0;4620.476426786647
vehicle10;1078.951146600322;142.0;36.0;7.598247511269874;310.2347395381429;0.10764568253867823;0.04150613786496919;0.09233007753862284;1.6604322474111985;99.69883834593082;0.0;8637.935802158856
vehicle11;1551.7451353773865;233.0;70.0;6.659850366426552;363.71689820205063;1.468289822810652;0.009812576090619201;0.03465790809562469;0.12112361770600728;117.91211033634542;0.0;9923.867135657436
vehicle12;904.8445370812741;176.0;86.0;5.141162142507239;250.74948146446528;0.8498208439245029;0.007890699082968609;0.018176323745579037;0.07721306777310065;81.17443565954154;0.0;5642.780982202637
vehicle13;1712.0702156290536;243.0;90.0;7.045556442917916;616.6589327269276;7.2948876351460195;0.04089949931883933;0.028506790528209158;0.0866907008792615;199.62279775740387;0.0;14868.885216263521
vehicle14;133.41892161828622;11.0;0.0;12.128992874389656;30.342295329646156;0.1888642447219102;0.0012645537671125294;0.0035869565718573086;0.010833191860331026;9.83659697757249;0.0;714.0553785308692
vehicle15;766.0333254652655;148.0;68.0;5.175900847738281;0.0;0.0;0.0;0.016719512570434702;0.0;0.0;408.1005631274504;8834.049061499989
vehicle16;1389.574689864856;144.0;32.0;9.649824235172611;465.7876059726077;2.400199582970151;0.02004921014882335;0.022583554372083915;0.12428008835516807;150.78072861547258;0.0;9108.716882665785
vehicle17;1251.9057665637913;175.0;50.0;7.153747237507379;246.94808292262638;0.6104977923382182;0.006700176529347324;0.0240048467002331;0.07406815647470769;80.0577115860078;0.0;7785.299387955724
vehicle18;1074.4968946753063;112.0;12.0;9.593722273886664;226.30535414811467;1.9288304660348576;0.011010868147562537;0.02090071717455791;0.03496628052498978;73.25599874220877;0.0;6974.85657983425
