VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;348.18309193015875;62.0;26.0;5.6158563214541735;102.55967249618838;1.01989317984955;0.005749934464457725;0.007475617905135;0.012324165971096993;33.2522475069571;0.0;2267.4519680616513
vehicle1;1671.4110501504733;164.0;1.0;10.191530793600448;419.8045597347982;2.975573213874428;0.019712035889796312;0.027084906954062984;0.15039821100029305;135.88065803779224;0.0;10206.027694579092
vehicle2;1149.0305016193502;100.0;0.0;11.490305016193501;273.69304389014894;3.163479255218334;0.017861872967900462;0.022115463891894283;0.03196024351317452;88.73764317246277;0.0;6383.968403342832
vehicle3;1820.032332648229;247.0;15.0;7.368551954041413;555.4541689219122;2.4388335373724996;0.016163934190903485;0.036870001779255764;0.1843041835533471;180.07028233795478;0.0;14968.17123929388
vehicle4;1271.8994564720554;110.0;0.0;11.56272233156414;304.8439605524447;2.1901930616883782;0.014528791279475662;0.025251892238984486;0.10618365480588955;98.82593129667363;0.0;7027.083861962737
vehicle5;1577.8982276843042;157.0;2.0;10.050307182702575;453.2168335654194;0.24142309566906442;0.0509432490217305;0.18740612303179674;1.681860849625691;145.64854826820763;0.0;9655.668193948397
vehicle6;896.9989697844587;73.0;0.0;12.287657120335052;210.1325815665177;0.8731242722460614;0.007746457442289014;0.017962577601765693;0.05928441706323987;68.0246182011373;0.0;4721.847287041171
vehicle7;881.9614810741268;183.0;13.0;4.819461645213808;451.26424065253354;0.09040966598970462;0.015277106403071948;0.017997876849623975;2.452523471825323;145.02340215367505;0.0;10839.211632551021
vehicle8;1657.5595129172725;179.0;19.0;9.26010901071102;397.0947207130983;4.177557511635703;0.023679825875231472;0.028722454126289803;0.05669354853854965;128.54356180092006;0.0;11124.311268218653
vehicle9;1667.1740948771303;199.0;23.0;8.377759270739348;559.1892596382814;0.10108323033373735;0.017953179235802336;0.03451040238492046;2.982783450919604;179.70468124432116;0.0;12288.279789619995
vehicle10;1089.9156696605542;153.0;4.0;7.12363182784676;295.2883688903985;2.144015030534611;0.012129290184466039;0.021377698442854868;0.04673686154311203;95.58507577691178;0.0;9248.935842223265
vehicle11;1868.9478226645601;192.0;4.0;9.734103243044585;464.76830117353086;1.569744796206506;0.014611753785757119;0.03424169927883825;0.13490368575884784;150.66582608427626;0.0;11962.405958673384
vehicle12;962.8422163951274;176.0;48.0;5.470694411335951;321.9522036677494;1.7154064141830307;0.011350141960116987;0.016822260006390293;0.10765266287363676;104.20637917694233;0.0;7605.070747805875
vehicle13;787.8492507708474;81.0;0.0;9.726533960133919;182.55786401695508;0.5269510940978956;0.005325202147708532;0.015950840945815385;0.053514953047085166;59.181937574036986;0.0;5046.595375058096
vehicle14;890.7428046032577;932.0;662.0;0.9557326229648688;1560.731583953467;2.3714813704289837;1.0977466115792236;0.02278707607060603;2.3047239454300588;506.02515616444396;0.0;52642.48652335531
vehicle15;734.123552510434;89.0;6.0;8.24857924169027;218.1030170309924;1.3004069656505095;0.008591794007439327;0.012836324650325484;0.07210087437922275;70.70560869711807;0.0;5471.154171684721
vehicle16;1581.780962616492;141.0;0.0;11.218304699407744;314.41979636130566;0.8873125399031216;0.009389916729980902;0.034639591140204005;0.0906717934814979;101.93135880050862;0.0;8924.579770888242
vehicle17;644.9835535766183;65.0;1.0;9.922823901178743;166.65075661229994;0.717909577955582;0.006223214923040522;0.010369392411458251;0.04835805489312796;53.94795934783095;0.0;4077.134083928802
vehicle18;1272.6737784857141;970.0;782.0;1.3120348231811485;520.5873431163972;0.10010939086488731;0.015572997773173086;0.026202259135808353;2.6341008973911304;167.30176970586066;0.0;11148.206810398584
vehicle19;954.0146660242269;77.0;0.0;12.389800857457493;220.18434531119246;0.9179376070042422;0.008127870849587389;0.019595899867164288;0.05951423834574724;71.3774002767526;0.0;4972.885629606431
vehicle20;1466.035277124571;636.0;353.0;2.305086913717879;614.0767524810024;0.21994989764062794;0.07413919696276257;0.14991826137342484;2.9697292136742854;197.34290969290643;0.0;15648.36977738776
vehicle21;526.6110039345897;58.0;8.0;9.079500067837753;184.11879660636004;0.06694293045428444;0.018832056490982893;0.01190928863275622;0.39654675625532343;59.17210099955061;0.0;3132.100345322598
vehicle22;1868.335511854666;216.0;22.0;8.649701443771603;650.6421515550194;0.12078140670865552;0.024581750803118717;0.1459238473317351;2.244263555777535;209.0959531370989;0.0;11986.950179448353
vehicle23;1107.9446907558556;105.0;26.0;10.551854197674816;377.4382386133681;0.05806040182421788;0.013555280697844025;0.08981816706836417;1.584092375930159;121.29918759948548;0.0;5189.345404926118
vehicle24;1021.7035875774412;115.0;15.0;8.884379022412533;304.7952254575296;2.0890846715726363;0.013838673221794997;0.021488176465626417;0.10300403226099772;98.80983864308389;0.0;6275.044560950764
